iter	MAE
0	16.88319719
1	16.08403913
2	15.29071908
3	14.60221281
4	13.90756045
5	13.21131493
6	12.59965833
7	11.93910245
8	11.29347821
9	10.71438137
10	10.17631953
11	9.696819454
12	9.297839792
13	8.852386464
14	8.423444323
15	8.016261564
16	7.663807103
17	7.309309535
18	6.997814363
19	6.710363745
20	6.397262267
21	6.114693566
22	5.843788262
23	5.592315447
24	5.361772062
25	5.13710854
26	4.92622532
27	4.730096956
28	4.537767199
29	4.360284374
30	4.186624942
31	4.026852554
32	3.871730465
33	3.729030642
34	3.593757313
35	3.463333876
36	3.341649666
37	3.228544756
38	3.119380065
39	3.018257652
40	2.920546612
41	2.826507293
42	2.737635108
43	2.655946453
44	2.576490138
45	2.5053487
46	2.434685238
47	2.366263375
48	2.305074777
49	2.242875788
50	2.187368661
51	2.135521724
52	2.085708923
53	2.039916107
54	1.997945416
55	1.958945125
56	1.92275314
57	1.887894834
58	1.852812313
59	1.821552523
60	1.791274946
61	1.762377485
62	1.734290639
63	1.709641763
64	1.686489398
65	1.662642001
66	1.637664126
67	1.617972493
68	1.596941045
69	1.578934848
70	1.56028016
71	1.545736741
72	1.530675636
73	1.515002005
74	1.503004616
75	1.490857735
76	1.478456465
77	1.463795131
78	1.452070875
79	1.440018827
80	1.429230339
81	1.420342223
82	1.413572429
83	1.400819058
84	1.392432075
85	1.384527276
86	1.377025519
87	1.370441035
88	1.364882056
89	1.357290241
90	1.35199877
91	1.345226107
92	1.341104199
93	1.336348626
94	1.331439867
95	1.32673382
96	1.32230679
97	1.315014411
98	1.310324662
99	1.30547894
100	1.300860147
101	1.298247898
102	1.293137618
103	1.288574681
104	1.280634497
105	1.278065835
106	1.274810008
107	1.269608835
108	1.265855265
109	1.262390442
110	1.256730413
111	1.253389967
112	1.249018168
113	1.242555299
114	1.240883205
115	1.239276148
116	1.232808412
117	1.228847871
118	1.223831271
119	1.218523774
120	1.215851517
121	1.213884671
122	1.210954278
123	1.209243136
124	1.207638379
125	1.206030027
126	1.203905099
127	1.201283248
128	1.198758104
129	1.194719794
130	1.192409095
131	1.189975928
132	1.188236276
133	1.18584558
134	1.18373637
135	1.181550693
136	1.180203632
137	1.178823265
138	1.176895478
139	1.175059032
140	1.174125263
141	1.173262005
142	1.171682736
143	1.169647027
144	1.16819732
145	1.167290026
146	1.16626251
147	1.165609498
148	1.162545482
149	1.159301943
150	1.15800333
151	1.156787408
152	1.155482833
153	1.154541793
154	1.153970094
155	1.152681154
156	1.151161693
157	1.149439977
158	1.148765036
159	1.14821476
160	1.144633824
161	1.143704492
162	1.143307919
163	1.142670349
164	1.140790313
165	1.135358099
166	1.130845747
167	1.127132734
168	1.126013847
169	1.124342569
170	1.123932699
171	1.121780847
172	1.121476878
173	1.120792535
174	1.119717138
175	1.11678531
176	1.115117952
177	1.114680506
178	1.11408801
179	1.112863632
180	1.108992669
