iter	Passed	Remaining
0	3	1743
1	6	1683
2	9	1557
3	11	1470
4	14	1414
5	16	1340
6	18	1294
7	20	1259
8	22	1237
9	24	1210
10	26	1198
11	29	1201
12	31	1187
13	33	1170
14	35	1161
15	38	1154
16	40	1139
17	42	1132
18	44	1129
19	46	1123
20	48	1113
21	50	1107
22	53	1100
23	55	1100
24	57	1092
25	59	1085
26	62	1089
27	64	1085
28	66	1077
29	68	1076
30	70	1072
31	72	1066
32	74	1059
33	77	1068
34	79	1062
35	82	1059
36	84	1059
37	87	1061
38	89	1055
39	91	1053
40	94	1056
41	96	1050
42	98	1047
43	100	1042
44	102	1038
45	104	1034
46	107	1032
47	109	1028
48	111	1029
49	113	1024
50	116	1024
51	118	1021
52	121	1021
53	123	1020
54	125	1017
55	128	1020
56	130	1016
57	133	1014
58	135	1013
59	138	1012
60	140	1011
61	142	1009
62	145	1009
63	147	1007
64	149	1003
65	152	1001
66	154	999
67	157	997
68	159	993
69	161	994
70	164	994
71	166	991
72	169	990
73	171	988
74	173	984
75	176	983
76	179	983
77	181	980
78	183	976
79	185	975
80	188	972
81	190	968
82	192	966
83	194	964
84	196	961
85	198	957
86	200	953
87	202	948
88	204	946
89	207	943
90	209	943
91	212	940
92	214	938
93	216	934
94	218	931
95	220	928
96	222	924
97	224	922
98	227	922
99	230	920
100	232	916
101	234	913
102	236	913
103	238	909
104	241	907
105	243	905
106	245	902
107	247	898
108	249	895
109	252	894
110	254	890
111	256	887
112	259	887
113	261	885
114	263	882
115	265	879
116	268	878
117	270	875
118	272	873
119	275	873
120	277	870
121	279	867
122	282	864
123	284	862
124	286	858
125	288	855
126	290	853
127	293	853
128	295	849
129	297	846
130	299	844
131	302	842
132	304	839
133	306	836
134	309	836
135	311	833
136	313	830
137	315	828
138	317	825
139	319	822
140	322	819
141	324	818
142	326	815
143	328	812
144	330	810
145	334	811
146	338	812
147	342	813
148	345	813
149	347	811
150	349	808
151	352	806
152	354	803
153	356	801
154	358	798
155	360	795
156	362	792
157	364	789
158	367	788
159	369	785
160	371	782
161	373	780
162	375	777
163	377	774
164	379	771
165	382	769
166	384	766
167	386	763
168	388	760
169	390	758
170	392	755
171	394	752
172	396	750
173	399	747
174	401	745
175	403	742
176	406	741
177	408	738
178	410	735
179	412	732
180	414	730
181	416	728
182	418	725
183	420	722
184	423	720
185	425	717
186	427	714
187	429	712
188	432	711
189	434	708
190	436	705
191	438	703
192	440	700
193	442	698
194	444	695
195	447	693
196	449	690
197	451	687
198	453	685
199	455	683
200	457	681
201	460	678
202	462	676
203	464	673
204	466	671
205	468	668
206	470	665
207	472	663
208	474	660
209	476	658
210	478	655
211	480	653
212	482	650
213	485	648
214	487	646
215	489	643
216	491	641
217	493	638
218	495	636
219	497	633
220	500	631
221	502	629
222	505	628
223	507	625
224	509	622
225	511	620
226	513	617
227	515	614
228	517	612
229	519	609
230	521	607
231	523	605
232	526	602
233	528	600
234	530	597
235	532	595
236	534	592
237	536	590
238	538	587
239	540	585
240	542	582
241	544	581
242	547	578
243	549	576
244	551	573
245	553	571
246	555	569
247	557	566
248	559	564
249	561	561
250	563	559
251	565	556
252	568	554
253	571	553
254	573	551
255	575	548
256	578	546
257	580	544
258	583	542
259	585	540
260	588	538
261	590	536
262	592	534
263	595	532
264	597	529
265	599	527
266	601	525
267	604	523
268	606	520
269	608	518
270	610	515
271	612	513
272	614	511
273	616	508
274	619	506
275	621	504
276	623	501
277	625	499
278	627	497
279	629	494
280	631	492
281	634	490
282	636	488
283	638	485
284	640	483
285	642	480
286	645	478
287	647	476
288	649	474
289	651	471
290	653	469
291	655	467
292	658	464
293	660	462
294	662	460
295	664	457
296	666	455
297	668	453
298	670	451
299	672	448
300	674	446
301	676	443
302	679	441
303	680	439
304	682	436
305	685	434
306	687	432
307	689	429
308	691	427
309	693	425
310	695	422
311	697	420
312	699	417
313	702	416
314	704	413
315	706	411
316	708	409
317	711	407
318	713	404
319	715	402
320	717	400
321	719	397
322	722	395
323	724	393
324	726	390
325	728	388
326	730	386
327	732	383
328	734	381
329	736	379
330	738	377
331	741	374
332	743	372
333	745	370
334	747	368
335	749	365
336	751	363
337	753	361
338	755	358
339	757	356
340	759	354
341	761	352
342	763	349
343	766	347
344	768	345
345	770	342
346	772	340
347	774	338
348	776	336
349	778	333
350	780	331
351	783	329
352	785	327
353	787	324
354	789	322
355	791	320
356	793	317
357	795	315
358	798	313
359	800	311
360	802	309
361	805	306
362	806	304
363	809	302
364	810	299
365	812	297
366	815	295
367	817	293
368	819	290
369	821	288
370	824	286
371	826	284
372	828	282
373	830	279
374	832	277
375	834	275
376	836	273
377	839	270
378	841	268
379	843	266
380	845	264
381	847	261
382	850	259
383	852	257
384	854	255
385	856	252
386	858	250
387	860	248
388	862	246
389	865	244
390	867	241
391	869	239
392	871	237
393	873	235
394	876	232
395	878	230
396	880	228
397	882	226
398	885	224
399	887	221
400	889	219
401	892	217
402	894	215
403	896	212
404	898	210
405	900	208
406	902	206
407	904	203
408	906	201
409	908	199
410	911	197
411	913	195
412	915	192
413	917	190
414	919	188
415	921	186
416	923	183
417	925	181
418	927	179
419	930	177
420	932	174
421	934	172
422	936	170
423	938	168
424	940	166
