iter	MAE
0	17.69177827
1	16.80269714
2	15.97390548
3	15.23355301
4	14.50353328
5	13.78181253
6	13.12588101
7	12.43239321
8	11.75834587
9	11.23962018
10	10.69174311
11	10.22402409
12	9.784646387
13	9.324309207
14	8.906549615
15	8.498031076
16	8.099773162
17	7.732747043
18	7.413225858
19	7.051535801
20	6.732130374
21	6.434258396
22	6.153751784
23	5.887895497
24	5.630162713
25	5.405618097
26	5.18685767
27	4.97299496
28	4.780387111
29	4.592834116
30	4.411315389
31	4.240718927
32	4.077764145
33	3.923482067
34	3.779004683
35	3.64028821
36	3.51119926
37	3.387970857
38	3.269349485
39	3.156935604
40	3.049629592
41	2.952284012
42	2.857000446
43	2.768170462
44	2.684818534
45	2.604783931
46	2.529664783
47	2.4546946
48	2.384387587
49	2.321798652
50	2.262544013
51	2.206670927
52	2.154624848
53	2.103974592
54	2.055027784
55	2.011526247
56	1.968916942
57	1.92897932
58	1.892417639
59	1.857577748
60	1.825047634
61	1.7898096
62	1.759461017
63	1.731475019
64	1.705912113
65	1.678682181
66	1.653437993
67	1.62871579
68	1.607636967
69	1.586964393
70	1.56832723
71	1.552129473
72	1.536208122
73	1.519972245
74	1.506551294
75	1.493420825
76	1.480755049
77	1.464413491
78	1.453897325
79	1.44350013
80	1.433757058
81	1.424368442
82	1.414488676
83	1.40541656
84	1.395496686
85	1.388123707
86	1.380484791
87	1.372923918
88	1.366743598
89	1.360928341
90	1.354348476
91	1.349488108
92	1.344775605
93	1.339725461
94	1.334643239
95	1.330284471
96	1.32563025
97	1.321591298
98	1.318288558
99	1.31277864
100	1.304424406
101	1.300755916
102	1.294727095
103	1.289725536
104	1.285681575
105	1.280573302
106	1.274529369
107	1.26954632
108	1.265924776
109	1.26061736
110	1.255696722
111	1.251547567
112	1.246832639
113	1.241981498
114	1.239316996
115	1.236588327
116	1.234965598
117	1.230228511
118	1.224395406
119	1.22013813
120	1.215762511
121	1.212387626
122	1.20929982
123	1.206322351
124	1.203144047
125	1.201217988
126	1.196811547
127	1.194465256
128	1.191593915
129	1.188985725
130	1.186925665
131	1.184276354
132	1.182434164
133	1.180346544
134	1.178954148
135	1.176464865
136	1.172992242
137	1.171259683
138	1.169466612
139	1.168204321
140	1.166951707
141	1.165437038
142	1.163682374
143	1.161347338
144	1.159693611
145	1.157931954
146	1.156818432
147	1.154589847
148	1.153011951
149	1.150596025
150	1.149471171
151	1.148761561
152	1.145284895
153	1.143061048
154	1.141887333
155	1.139694405
156	1.137313329
157	1.132872976
158	1.131699443
159	1.12971582
160	1.12885101
161	1.127675738
162	1.126614973
163	1.12609051
164	1.125252181
165	1.123004314
166	1.120915143
167	1.119177661
168	1.118349854
169	1.11620842
170	1.114546884
171	1.112839751
172	1.112471495
173	1.111982738
174	1.110594038
175	1.109329929
176	1.108970366
177	1.10846753
178	1.107959878
179	1.105761776
180	1.104567424
181	1.104146127
182	1.101999423
183	1.101336276
184	1.100300227
185	1.099689796
186	1.097712294
187	1.096842992
188	1.094234281
189	1.093573751
190	1.09334837
191	1.091197806
192	1.090650333
193	1.088221412
194	1.086869339
195	1.083815082
196	1.083483298
197	1.08319469
198	1.082984534
199	1.081307928
200	1.079376536
201	1.078770423
202	1.078543155
203	1.077089796
204	1.076689642
205	1.075619933
206	1.073678646
207	1.073421801
208	1.072218608
209	1.071940602
210	1.071119762
211	1.070894327
212	1.069885961
213	1.068399122
214	1.067693443
215	1.066340943
216	1.066127786
217	1.064199926
218	1.062275766
219	1.061998257
220	1.061692897
221	1.061555754
222	1.059916412
223	1.058815006
224	1.057752475
225	1.055555988
226	1.054223804
227	1.054044519
228	1.053503247
229	1.052443833
230	1.052257823
231	1.052108391
232	1.051868265
233	1.05043301
234	1.050266841
235	1.049742064
236	1.049577262
237	1.047061638
238	1.044496699
239	1.044350487
240	1.043711059
241	1.040934573
242	1.040424636
243	1.038284818
244	1.037983786
245	1.037845499
246	1.037641491
247	1.035837686
248	1.034022839
249	1.032099052
250	1.031096236
251	1.030733203
252	1.028981565
253	1.026656436
254	1.024632209
255	1.023471784
256	1.023383662
257	1.021681357
258	1.019984474
259	1.018509619
260	1.01822137
261	1.016873412
262	1.016445858
263	1.015280709
264	1.013795626
265	1.013690677
266	1.013584938
267	1.011362722
268	1.010445499
269	1.009078834
270	1.008171064
271	1.007974105
272	1.006295697
273	1.005121749
