iter	Passed	Remaining
0	14	7215
1	32	8186
2	51	8606
3	69	8610
4	84	8391
5	100	8265
6	116	8208
7	134	8247
8	149	8178
9	165	8129
10	180	8021
11	193	7888
12	210	7880
13	225	7829
14	239	7758
15	253	7654
16	266	7581
17	280	7508
18	293	7440
19	307	7376
20	321	7341
21	336	7303
22	350	7272
23	365	7239
24	378	7187
25	391	7142
26	408	7148
27	433	7313
28	448	7287
29	463	7253
30	476	7210
31	491	7181
32	505	7158
33	521	7150
34	537	7143
35	553	7130
36	567	7106
37	581	7074
38	596	7045
39	609	7005
40	623	6983
41	637	6956
42	652	6932
43	667	6914
44	681	6895
45	697	6888
46	715	6893
47	730	6874
48	744	6850
49	758	6828
50	773	6806
51	787	6787
52	803	6775
53	818	6756
54	833	6740
55	848	6725
56	862	6706
57	877	6686
58	891	6664
59	906	6645
60	920	6628
61	934	6599
62	949	6584
63	963	6564
64	978	6551
65	993	6535
66	1006	6506
67	1021	6490
68	1036	6471
69	1050	6454
70	1065	6437
71	1079	6417
72	1094	6399
73	1108	6379
74	1122	6362
75	1136	6338
76	1149	6314
77	1163	6292
78	1178	6278
79	1191	6255
80	1206	6240
81	1218	6212
82	1232	6193
83	1245	6168
84	1259	6147
85	1273	6129
86	1288	6115
87	1301	6095
88	1316	6081
89	1330	6060
90	1343	6037
91	1356	6017
92	1370	5999
93	1385	5985
94	1399	5967
95	1413	5950
96	1427	5930
97	1444	5925
98	1459	5912
99	1473	5895
100	1489	5882
101	1503	5866
102	1518	5853
103	1533	5837
104	1547	5823
105	1560	5801
106	1573	5779
107	1587	5760
108	1602	5746
109	1615	5728
110	1629	5711
111	1644	5698
112	1659	5684
113	1674	5669
114	1689	5655
115	1702	5636
116	1717	5623
117	1730	5603
118	1744	5586
119	1757	5566
120	1772	5552
121	1786	5535
122	1803	5528
123	1818	5514
124	1832	5497
125	1846	5481
126	1861	5465
127	1874	5447
128	1887	5426
129	1901	5411
130	1915	5395
131	1928	5377
132	1943	5363
133	1957	5345
134	1970	5327
135	1983	5309
136	1999	5297
137	2012	5280
138	2027	5265
139	2041	5249
140	2055	5234
141	2072	5224
142	2085	5207
143	2101	5194
144	2117	5183
145	2132	5171
146	2149	5161
147	2165	5149
148	2180	5136
149	2199	5132
150	2214	5117
151	2228	5102
152	2244	5090
153	2259	5076
154	2274	5062
155	2288	5047
156	2304	5034
157	2319	5021
158	2334	5006
159	2349	4993
160	2363	4977
161	2379	4963
162	2394	4950
163	2409	4936
164	2424	4922
165	2438	4905
166	2451	4889
167	2466	4874
168	2481	4859
169	2495	4843
170	2508	4826
171	2522	4811
172	2536	4795
173	2550	4779
174	2564	4762
175	2578	4746
176	2592	4730
177	2605	4713
178	2620	4698
179	2634	4682
180	2650	4672
181	2665	4656
182	2678	4640
183	2694	4627
184	2708	4611
185	2722	4596
186	2737	4581
187	2752	4568
188	2768	4555
189	2782	4540
190	2797	4525
191	2810	4508
192	2824	4492
193	2837	4476
194	2851	4460
195	2864	4443
196	2878	4427
197	2892	4411
198	2905	4395
199	2918	4378
200	2934	4364
201	2948	4349
202	2962	4334
203	2977	4320
204	2992	4306
205	3007	4291
206	3022	4277
207	3035	4261
208	3050	4247
209	3065	4233
210	3080	4219
211	3095	4205
212	3110	4190
213	3124	4176
214	3139	4161
215	3153	4145
216	3166	4130
217	3181	4115
218	3196	4100
219	3209	4085
220	3223	4069
221	3238	4055
222	3252	4040
223	3267	4025
224	3281	4010
225	3295	3995
226	3309	3979
227	3324	3966
228	3339	3951
229	3353	3936
230	3366	3920
231	3381	3906
232	3396	3892
233	3411	3878
234	3426	3864
235	3439	3847
236	3452	3831
237	3466	3815
238	3480	3800
239	3493	3784
240	3507	3769
241	3522	3755
242	3536	3740
243	3549	3724
244	3564	3709
245	3578	3694
246	3591	3678
247	3605	3664
248	3620	3649
249	3634	3634
250	3648	3619
251	3662	3604
252	3677	3590
253	3693	3576
254	3707	3561
255	3722	3547
256	3735	3531
257	3749	3516
258	3762	3501
259	3782	3491
260	3796	3476
261	3811	3462
262	3825	3447
263	3839	3432
264	3854	3418
265	3868	3402
266	3880	3386
267	3894	3371
268	3909	3357
269	3923	3342
270	3937	3327
271	3951	3312
272	3965	3297
273	3979	3282
274	3994	3268
275	4008	3253
276	4023	3239
277	4037	3223
278	4051	3209
279	4065	3194
280	4080	3179
281	4093	3164
282	4107	3149
283	4120	3133
284	4135	3119
285	4148	3104
286	4163	3089
287	4177	3074
288	4190	3059
289	4204	3044
290	4218	3029
291	4231	3014
292	4246	3000
293	4259	2984
294	4274	2970
295	4288	2955
296	4301	2940
297	4315	2925
298	4329	2910
299	4343	2895
300	4357	2880
301	4370	2865
302	4385	2850
303	4399	2836
304	4412	2821
305	4426	2806
306	4440	2791
307	4453	2776
308	4468	2761
309	4482	2747
310	4497	2733
311	4512	2718
312	4526	2704
313	4540	2689
314	4554	2674
315	4569	2660
316	4584	2646
317	4597	2631
318	4611	2616
319	4625	2601
320	4641	2587
321	4655	2573
322	4670	2559
323	4684	2544
324	4700	2530
325	4713	2515
326	4727	2501
327	4741	2486
328	4757	2472
329	4771	2457
330	4788	2444
331	4801	2429
332	4816	2415
333	4829	2400
334	4844	2385
335	4856	2370
336	4871	2356
337	4887	2342
338	4902	2328
339	4918	2314
340	4932	2299
341	4947	2285
342	4960	2270
343	4973	2255
344	4989	2241
345	5003	2227
346	5018	2212
347	5032	2197
348	5047	2183
349	5061	2169
350	5074	2154
351	5089	2139
352	5104	2125
353	5119	2111
354	5133	2096
355	5148	2082
356	5162	2068
357	5176	2053
358	5191	2038
359	5205	2024
360	5220	2010
361	5235	1995
362	5249	1981
363	5264	1966
364	5279	1952
365	5294	1938
366	5309	1924
367	5324	1909
368	5339	1895
369	5354	1881
370	5368	1866
371	5383	1852
372	5398	1838
373	5413	1823
374	5427	1809
375	5441	1794
376	5457	1780
377	5471	1765
378	5485	1751
379	5499	1736
380	5514	1722
381	5527	1707
382	5541	1692
383	5555	1678
384	5570	1663
385	5585	1649
386	5598	1634
387	5613	1620
388	5626	1605
389	5640	1590
390	5653	1576
391	5668	1561
392	5682	1547
393	5696	1532
394	5710	1517
395	5723	1503
396	5736	1488
397	5751	1473
398	5766	1459
399	5779	1444
400	5793	1430
401	5807	1415
402	5822	1401
403	5837	1387
404	5850	1372
405	5865	1357
406	5879	1343
407	5893	1328
408	5907	1314
409	5922	1300
410	5937	1285
411	5952	1271
412	5969	1257
413	5982	1242
